group,state,content,next
0,질문시작,아코봇을 불러줘,1
1,전체모집요강,전체 모집 요강이 뭐야?,6
1,수시,수시전형 알려줘,2
1,정시,정시전형 알려줘,3
1,모집인원,모집 인원이 몇 명이지?,6
1,작년도 경쟁률,작년도 경쟁률은 어때?,6
1,지원자격 유의사항,지원자격 유의사항 있어?,4
1,재외국민/외국인 특별전형,재외국민이나 외국인 특별전형,5
1,전형요소별 평가방법,전형요소별 평가방법 알려줘,6
1,전형일정,전형 일정 어떻게 돼?,6
2,두드림소프트웨어,두드림소프트웨어 설명해줘,6
2,학교장추천,학교장 추천 설명해줘,6
2,두드림,두드림 설명해줘,6
2,불교추천,불교추천 설명해줘,6
2,논술,논술전형을 설명해줘,6
2,고른기회,고른기회 전형을 설명해줘,6
3,일반전형,일반전형 설명해줘,6
3,농어촌전형,농어촌 전형 설명해줘,6
3,특성화고교,특성화 고교 전형 설명해줘,6
3,재직자,재직자 전형 설명해줘,6
3,기초생활수급자 및 차상위계층,기초생활수급자 및 차상위계층 전형 설명해줘,6
4,농어촌학생 재학거주 인정기준,농어촌학생 재학거주 인정기준 어떻게 돼?,6
4,특성화고교 졸업자 통합계열 기준학과,특성화고교 졸업자 통합계열 기준학과 좀 알려줘,6
4,재직기간 산정기준,재직기간 산정기준 있나요?,6
5,서류종합평가,서류종합평가는 뭐야?,6
5,면접평가,면접평가는 어떻게 돼?,6
5,학교생활기록부,학교 생활기록부 반영 방법,6
5,대학수학능력시험(SAT),대학수학능력시험 (SAT) 알려줘,6
6,답변완료,끝,0
